pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,30-34,Hombre,IX,Enfermedades del sistema circulatorio,1.5857010938703022e-4
Belice,2015,30-34,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2.3090988070749227e-4
Belice,2015,30-34,Hombre,X,Enfermedades del sistema respiratorio,1.6107915086839385e-4
Belice,2015,30-34,Hombre,XI,Enfermedades del sistema digestivo,1.7046089718196012e-4
Belice,2015,30-34,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,2.2599900626494415e-6
Belice,2015,30-34,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.3372501447626945e-5
Belice,2015,30-34,Hombre,XIV,Enfermedades del sistema genitourinario,1.2017939248027817e-5
Belice,2015,30-34,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",8.05871942241938e-6
Belice,2015,30-34,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",7.879411531276755e-5
Belice,2015,30-34,Hombre,XX,Causas externas de mortalidad,0.0021396162549384627
Belice,2015,30-34,Mujer,I,Enfermedades infecciosas y parasitarias,3.211672095650881e-4
Belice,2015,30-34,Mujer,II,Tumores,3.047657355674212e-4
Belice,2015,30-34,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,8.812224838903753e-6
Belice,2015,30-34,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",8.857196249049761e-5
Belice,2015,30-34,Mujer,IX,Enfermedades del sistema circulatorio,1.5295019256007818e-4
Belice,2015,30-34,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",9.146238267769824e-5
Belice,2015,30-34,Mujer,X,Enfermedades del sistema respiratorio,1.569926159670972e-4
Belice,2015,30-34,Mujer,XI,Enfermedades del sistema digestivo,9.606492670015798e-5
Belice,2015,30-34,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,2.156846584862186e-6
Belice,2015,30-34,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,4.3873284288574945e-5
Belice,2015,30-34,Mujer,XIV,Enfermedades del sistema genitourinario,1.227789265173645e-5
Belice,2015,30-34,Mujer,XV,"Embarazo, parto y puerperio",1.617775673277984e-5
Belice,2015,30-34,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.969501263907703e-5
Belice,2015,30-34,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",5.3755893426853855e-6
Belice,2015,30-34,Mujer,XX,Causas externas de mortalidad,2.6869559840334424e-4
Belice,2015,35-39,Hombre,I,Enfermedades infecciosas y parasitarias,0.0011868327193753775
Belice,2015,35-39,Hombre,II,Tumores,2.834224734269915e-4
Belice,2015,35-39,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.0182280934654427e-5
Belice,2015,35-39,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.0505650661021848e-4
Belice,2015,35-39,Hombre,IX,Enfermedades del sistema circulatorio,1.8584137644092217e-4
Belice,2015,35-39,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.0630939829504139e-4
Belice,2015,35-39,Hombre,X,Enfermedades del sistema respiratorio,1.8871351276319117e-4
Belice,2015,35-39,Hombre,XI,Enfermedades del sistema digestivo,1.9762581271865132e-4
Belice,2015,35-39,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,2.3929035011720628e-6
Belice,2015,35-39,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.423241153986621e-5
Belice,2015,35-39,Hombre,XIV,Enfermedades del sistema genitourinario,1.004558315749809e-4
Belice,2015,35-39,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",8.257651028820671e-5
Belice,2015,35-39,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",6.513564010030934e-6
Belice,2015,35-39,Hombre,XX,Causas externas de mortalidad,0.002073443363281565
Belice,2015,35-39,Mujer,I,Enfermedades infecciosas y parasitarias,5.276146876241903e-4
